키값,연도,학교종류,학교명,본분교,학교상태,설립,우편번호,주소,도로명주소,행정시,행정구,행정동,전화번호,팩스번호,홈페이지,위도,경도
BE_LiST23-0064,2013,일반대학,홍익대학교,본교,기존,사립,,서울특별시 마포구 와우산로 94(상수동),서울특별시 마포구 와우산로 94,서울특별시,마포구,서강동,02-320-1114,02-320-1122,http://www.hongik.ac.kr/,37.55035515,126.9254432849533
BE_LiST23-0025,2013,일반대학,서강대학교,본교,기존,사립,,서울 마포구 신수동 서강대학교,서울특별시 마포구 백범로 35,서울특별시,마포구,대흥동,02-705-8114,,http://www.sogang.ac.kr,37.5521044,126.9409838739227
BE_LiST23-0032,2013,사이버대학(대학),서울디지털대학교,본교,기존,사립,,서울 마포구 도화동 560번지,서울특별시 마포구 도화동 560번지,서울특별시 마포구 독막로 320,마포구,도화동,02-1644-0982,02-2128-3006,http://www.sdu.ac.kr,0.0,0.0
