"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"마포구","교습소","3000034336","숭찌미술교습소","서울특별시 마포구 토정로17길 38",", 1층 일부 (신수동, 명약국)","예능(대)","예능(중)","미술초급1","미술","6","3","미술초급1:150000, 미술초급2:120000","Y","N","04088","개원","20190423","","99991231","20190423","20231018"
"마포구","교습소","3000034339","박준혜수학교습소","서울특별시 마포구 월드컵로42길 40",", 304호 (상암동, 상암근린상가)","입시.검정 및 보습","보통교과","","보습","9","3","","Y","N","03905","개원","20190425","","99991231","20190425","20231018"
"마포구","학원","3000034340","영서당어학원[원격]","서울특별시 마포구 양화로 113",", 4층 (서교동)","국제화","외국어","실용외국어(유아/초?중?고),","실용외국어(유아/초?중?고)","18981","999","","Y","N","04033","개원","20190430","","99991231","20190430","20231018"
"마포구","교습소","3000034341","최가은미술교습소","서울특별시 마포구 토정로31길 55",", 3층(대흥동)","예능(대)","예능(중)","고급미술1","미술","54","9","고급미술1:80000, 고급미술2:100000, 고급미술3:120000, 고급미술4:140000, 고급미술5:195000, 고급미술6:145000","Y","N","04152","개원","20190502","","99991231","20190502","20231206"
"마포구","교습소","3000034486","고고와구름로켓미술교습소","서울특별시 마포구 토정로 215-7",", 1층 (신수동)","예능(대)","예능(중)","","미술","18","5","","Y","N","04088","개원","20190524","","99991231","20190524","20231018"
"마포구","학원","3000034628","더모션아카데미학원","서울특별시 마포구 양화로 85",", 2층, 5층 (서교동)","직업기술","컴퓨터","컴퓨터(정보처리,통신기기,인터넷,소프트웨어),","컴퓨터(정보처리,통신기기,인터넷,소프트웨어)","240","152","","Y","N","04034","개원","20190605","","99991231","20190605","20231018"
"마포구","교습소","3000034629","스팀로봇교습소","서울특별시 마포구 신촌로 170",", 상가 205호 (대흥동, 이대역푸르지오시티)","기타(대)","기타(중)","","로봇","24","9","","Y","N","04104","개원","20190605","","99991231","20190605","20231018"
"마포구","학원","3000034674","펀액터스화술홍대점학원","서울특별시 마포구 동교로27길 8",", 4층 (동교동, 호성빌딩)","기예(대)","기예(중)","","화술","40","60","","Y","N","03993","개원","20190605","","99991231","20190605","20231018"
"마포구","학원","3000034675","설탭원격학원","서울특별시 마포구 연희로 11",", 4층 일부 (동교동, 한국특허정보원빌딩)","입시.검정 및 보습","보통교과","보습,","보습","240","999","","Y","N","03985","개원","20190605","","99991231","20190605","20231018"
"마포구","학원","3000034682","발레포러스마포점무용학원","서울특별시 마포구 큰우물로 52",", 세일종합상가 3층 311호(3층우측) (용강동, 세일상가)","예능(대)","예능(중)","무용","무용","60","80","","Y","N","04166","개원","20190618","","99991231","20190618","20231018"
"마포구","학원","3000034683","더베스트국어전문학원","서울특별시 마포구 월드컵로 83",", 3층 일부(우측) (망원동)","입시.검정 및 보습","보통교과","","보습?논술","60","60","","Y","N","04012","개원","20190619","","99991231","20190619","20231018"
"마포구","학원","3000034810","대한논리독서논술학원","서울특별시 마포구 독막로 264",", 4층 (대흥동, 숭문빌딩)","입시.검정 및 보습","보통교과","","보습?논술","440","65","","Y","N","04150","개원","20190704","","99991231","20190704","20231018"
"마포구","교습소","3000034952","철학교육논술교습소","서울특별시 마포구 마포대로11길 41",", 201호 (공덕동)","입시.검정 및 보습","보통교과","","보습?논술","20","5","","Y","N","04142","개원","20190731","","99991231","20190731","20231018"
