지역별(1),지역별(2),구분별(1),구분별(2),2022 3/4,2023    
도심(시내),시청,수익률 종합 (%),소득수익률,0.56,0.75
도심(시내),시청,수익률 종합 (%),자본수익률,1.17,0.13
도심(시내),을지로,임대료 (천원/㎡),소계,43.7,51.1
도심(시내),을지로,공실률 (%),소계,16.5,15.1
도심(시내),을지로,수익률 종합 (%),투자수익률,1.59,0.85
도심(시내),을지로,수익률 종합 (%),소득수익률,0.37,0.73
도심(시내),을지로,수익률 종합 (%),자본수익률,1.22,0.12
도심(시내),종로,임대료 (천원/㎡),소계,78.5,78.3
도심(시내),종로,공실률 (%),소계,12.1,13.5
도심(시내),종로,수익률 종합 (%),투자수익률,1.71,0.81
도심(시내),종로,수익률 종합 (%),소득수익률,0.5,0.73
도심(시내),종로,수익률 종합 (%),자본수익률,1.21,0.08
도심(시내),충무로,임대료 (천원/㎡),소계,48.3,48.2
도심(시내),충무로,공실률 (%),소계,11.1,11.1
도심(시내),충무로,수익률 종합 (%),투자수익률,0.94,0.52
도심(시내),충무로,수익률 종합 (%),소득수익률,0.43,0.66
도심(시내),충무로,수익률 종합 (%),자본수익률,0.51,-0.14
강남,소계,임대료 (천원/㎡),소계,57.1,57
강남,소계,공실률 (%),소계,8.6,8.2
강남,소계,수익률 종합 (%),투자수익률,1.45,0.58
강남,소계,수익률 종합 (%),소득수익률,0.34,0.59
강남,소계,수익률 종합 (%),자본수익률,1.11,-0.02
강남,강남대로,임대료 (천원/㎡),소계,106.5,106.2
강남,강남대로,공실률 (%),소계,12,10.8
강남,강남대로,수익률 종합 (%),투자수익률,1.54,0.57
강남,강남대로,수익률 종합 (%),소득수익률,0.33,0.61
강남,강남대로,수익률 종합 (%),자본수익률,1.2,-0.04
강남,교대역,임대료 (천원/㎡),소계,33.4,33.3
강남,교대역,공실률 (%),소계,6,5.7
강남,교대역,수익률 종합 (%),투자수익률,1.61,0.53
강남,교대역,수익률 종합 (%),소득수익률,0.39,0.67
강남,교대역,수익률 종합 (%),자본수익률,1.22,-0.14
강남,남부터미널,임대료 (천원/㎡),소계,30.9,31.1
강남,남부터미널,공실률 (%),소계,5.2,5.8
강남,남부터미널,수익률 종합 (%),투자수익률,1.77,0.64
강남,남부터미널,수익률 종합 (%),소득수익률,0.48,0.76
강남,남부터미널,수익률 종합 (%),자본수익률,1.29,-0.11
강남,논현역,임대료 (천원/㎡),소계,53,53.1
강남,논현역,공실률 (%),소계,20,18.2
강남,논현역,수익률 종합 (%),투자수익률,1.33,0.92
강남,논현역,수익률 종합 (%),소득수익률,0.3,0.52
강남,논현역,수익률 종합 (%),자본수익률,1.03,0.41
강남,도산대로,임대료 (천원/㎡),소계,46.3,46.3
강남,도산대로,공실률 (%),소계,5,5
강남,도산대로,수익률 종합 (%),투자수익률,1.46,0.45
강남,도산대로,수익률 종합 (%),소득수익률,0.34,0.59
강남,도산대로,수익률 종합 (%),자본수익률,1.12,-0.14
강남,방배역/내방역,임대료 (천원/㎡),소계,39.9,39.8
강남,방배역/내방역,공실률 (%),소계,7.6,7.4
강남,방배역/내방역,수익률 종합 (%),투자수익률,1.35,0.57
강남,방배역/내방역,수익률 종합 (%),소득수익률,0.39,0.65
강남,방배역/내방역,수익률 종합 (%),자본수익률,0.95,-0.07
강남,서래마을,임대료 (천원/㎡),소계,44.6,44.6
강남,서래마을,공실률 (%),소계,6.4,3.9
강남,서래마을,수익률 종합 (%),투자수익률,1.28,0.59
강남,서래마을,수익률 종합 (%),소득수익률,0.44,0.68
강남,서래마을,수익률 종합 (%),자본수익률,0.84,-0.09
강남,신사역,임대료 (천원/㎡),소계,84.2,84
강남,신사역,공실률 (%),소계,12.2,10.1
강남,신사역,수익률 종합 (%),투자수익률,1.38,0.39
강남,신사역,수익률 종합 (%),소득수익률,0.23,0.53
강남,신사역,수익률 종합 (%),자본수익률,1.16,-0.14
강남,압구정동,임대료 (천원/㎡),소계,47.5,47.5
강남,압구정동,공실률 (%),소계,3.5,3.5
강남,압구정동,수익률 종합 (%),투자수익률,1.06,0.26
강남,압구정동,수익률 종합 (%),소득수익률,0.28,0.51
강남,압구정동,수익률 종합 (%),자본수익률,0.77,-0.25
강남,양재말죽거리,임대료 (천원/㎡),소계,38.4,38.4
강남,양재말죽거리,공실률 (%),소계,4.1,5.3
강남,양재말죽거리,수익률 종합 (%),투자수익률,1.36,0.51
강남,양재말죽거리,수익률 종합 (%),소득수익률,0.41,0.61
강남,양재말죽거리,수익률 종합 (%),자본수익률,0.95,-0.09
강남,양재역,임대료 (천원/㎡),소계,39.4,39.5
강남,양재역,공실률 (%),소계,12.4,16.9
강남,양재역,수익률 종합 (%),투자수익률,1.33,0.79
강남,양재역,수익률 종합 (%),소득수익률,0.31,0.57
강남,양재역,수익률 종합 (%),자본수익률,1.03,0.22
강남,청담,임대료 (천원/㎡),소계,59.4,59.5
강남,청담,공실률 (%),소계,8.1,6.1
강남,청담,수익률 종합 (%),투자수익률,1.95,1
강남,청담,수익률 종합 (%),소득수익률,0.25,0.49
강남,청담,수익률 종합 (%),자본수익률,1.71,0.51
강남,테헤란로,임대료 (천원/㎡),소계,48.6,48.7
강남,테헤란로,공실률 (%),소계,5.7,5.7
