"기준_년분기_코드","행정동_코드","행정동_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20211","11350612","하계2동","22673","10808","11865","4351","3096","2556","4071","3921","4678","2243","1577","1212","1896","1889","1991","2108","1519","1344","2175","2032","2687","8303","0","8303"
"20211","11350619","중계본동","24840","12174","12666","6075","3245","1908","5083","4554","3975","3112","1709","900","2222","2366","1865","2963","1536","1008","2861","2188","2110","8624","0","8624"
"20211","11350621","중계1동","27473","13374","14099","7750","2973","2006","6627","4469","3648","4106","1542","854","2884","2391","1597","3644","1431","1152","3743","2078","2051","9073","0","9073"
"20211","11350624","중계4동","20700","9999","10701","3504","2613","1993","3542","3612","5436","1885","1369","1010","1643","1814","2278","1619","1244","983","1899","1798","3158","8476","0","8476"
"20211","11350625","중계2?3동","35461","16354","19107","5317","4341","4303","5926","5653","9921","2597","2229","2087","2909","2654","3878","2720","2112","2216","3017","2999","6043","15408","0","15408"
"20211","11350630","상계1동","39064","18975","20089","5741","5302","4946","5735","7015","10325","2980","2717","2468","2753","3308","4749","2761","2585","2478","2982","3707","5576","15655","0","15655"
"20211","11350640","상계2동","20557","10167","10390","2880","3323","2335","3102","3944","4973","1464","1667","1226","1491","1981","2338","1416","1656","1109","1611","1963","2635","8798","0","8798"
"20211","11350665","상계3?4동","27081","13471","13610","3538","3256","2965","4002","4808","8512","1869","1757","1560","2016","2435","3834","1669","1499","1405","1986","2373","4678","12221","0","12221"
"20211","11350670","상계5동","24691","11998","12693","3176","3492","2631","3739","4552","7101","1613","1839","1383","1831","2219","3113","1563","1653","1248","1908","2333","3988","11023","0","11023"
"20211","11350695","상계6?7동","33550","15577","17973","5569","4630","4941","5572","5658","7180","2892","2225","2320","2562","2580","2998","2677","2405","2621","3010","3078","4182","13946","0","13946"
"20211","11350700","상계8동","22935","11020","11915","4551","2687","4732","3919","3012","4034","2318","1324","2326","1956","1418","1678","2233","1363","2406","1963","1594","2356","9169","0","9169"
"20211","11350710","상계9동","21136","10040","11096","3541","2753","2810","3507","3620","4905","1828","1434","1422","1589","1683","2084","1713","1319","1388","1918","1937","2821","8424","0","8424"
"20211","11350720","상계10동","17437","8034","9403","2668","2543","2640","2729","3073","3784","1325","1204","1293","1215","1381","1616","1343","1339","1347","1514","1692","2168","7083","0","7083"
"20211","11380510","녹번동","37380","17807","19573","4821","5070","6066","5831","5883","9709","2410","2384","3031","2940","2805","4237","2411","2686","3035","2891","3078","5472","17479","0","17479"
"20211","11380520","불광1동","39732","18809","20923","5092","5477","5445","6021","6771","10926","2665","2663","2665","2910","3167","4739","2427","2814","2780","3111","3604","6187","17969","0","17969"
"20211","11380530","불광2동","28437","13802","14635","2952","4339","3867","3953","4928","8398","1488","2181","2035","2040","2285","3773","1464","2158","1832","1913","2643","4625","13956","0","13956"
"20211","11380551","갈현1동","23146","11280","11866","2591","3751","3056","3331","4008","6409","1351","1910","1617","1671","1856","2875","1240","1841","1439","1660","2152","3534","11152","0","11152"
"20211","11380552","갈현2동","28872","13674","15198","4039","4370","3917","4715","4798","7033","2045","2101","1928","2263","2245","3092","1994","2269","1989","2452","2553","3941","12643","0","12643"
"20211","11380560","구산동","32750","16287","16463","4675","4439","4119","5130","5670","8717","2300","2191","2118","2577","2856","4245","2375","2248","2001","2553","2814","4472","13401","0","13401"
"20211","11380570","대조동","27235","12691","14544","2851","4889","4193","4105","4138","7059","1396","2140","2083","2018","2001","3053","1455","2749","2110","2087","2137","4006","14312","0","14312"
"20211","11380580","응암1동","30938","14680","16258","4886","4201","5148","5227","4581","6895","2518","1922","2524","2564","2234","2918","2368","2279","2624","2663","2347","3977","14058","0","14058"
"20211","11380590","응암2동","27580","13401","14179","5535","2765","5059","5193","3605","5423","2864","1395","2388","2662","1763","2329","2671","1370","2671","2531","1842","3094","11005","0","11005"
"20211","11380600","응암3동","25229","12332","12897","2631","3648","3379","3615","4242","7714","1371","1853","1784","1854","2130","3340","1260","1795","1595","1761","2112","4374","12765","0","12765"
"20211","11380625","역촌동","46566","22003","24563","6216","6530","6700","7609","7651","11860","3133","3114","3252","3792","3591","5121","3083","3416","3448","3817","4060","6739","20857","0","20857"
"20211","11380631","신사1동","27543","13312","14231","3745","3920","4102","4204","4492","7080","1902","2004","2079","2072","2096","3159","1843","1916","2023","2132","2396","3921","11838","0","11838"
"20211","11380632","신사2동","20812","10392","10420","2782","2938","2797","3166","3509","5620","1503","1523","1475","1616","1682","2593","1279","1415","1322","1550","1827","3027","9044","0","9044"
"20211","11380640","증산동","15338","7474","7864","1940","2110","2024","2248","2579","4437","988","1044","1038","1104","1261","2039","952","1066","986","1144","1318","2398","6891","0","6891"
"20211","11380650","수색동","11132","5498","5634","1442","1485","1729","1505","1965","3006","766","761","880","750","991","1350","676","724","849","755","974","1656","4737","0","4737"
"20211","11380690","진관동","57020","26773","30247","12180","7112","6887","10773","8409","11659","6267","3087","3005","5018","4217","5179","5913","4025","3882","5755","4192","6480","21642","0","21642"
"20211","11410520","천연동","17742","8412","9330","2727","2276","2419","2808","3004","4508","1362","1109","1178","1362","1485","1916","1365","1167","1241","1446","1519","2592","8016","0","8016"
"20211","11410555","북아현동","16643","7949","8694","2524","2381","2894","2685","2778","3381","1279","1079","1417","1351","1375","1448","1245","1302","1477","1334","1403","1933","7469","0","7469"
"20211","11410565","충현동","20756","9990","10766","2595","3434","3262","3046","3349","5070","1289","1650","1614","1535","1658","2244","1306","1784","1648","1511","1691","2826","10379","0","10379"
"20211","11410585","신촌동","19272","8599","10673","1594","7419","3286","1982","1999","2992","809","2877","1645","970","1000","1298","785","4542","1641","1012","999","1694","13316","0","13316"
"20211","11410615","연희동","36200","17437","18763","4151","7591","5620","5114","5256","8468","2102","3871","2818","2446","2492","3708","2049","3720","2802","2668","2764","4760","18862","0","18862"
"20211","11410620","홍제1동","24329","11424","12905","3451","3166","3452","3793","4088","6379","1705","1557","1666","1825","1898","2773","1746","1609","1786","1968","2190","3606","10489","0","10489"
"20211","11410640","홍제3동","15810","7661","8149","1897","2120","1969","2206","2714","4904","990","1065","1027","1100","1370","2109","907","1055","942","1106","1344","2795","7117","0","7117"
"20211","11410655","홍제2동","14233","6779","7454","1910","1857","1925","2050","2570","3921","991","926","960","974","1225","1703","919","931","965","1076","1345","2218","5908","0","5908"
