"행정동_코드","행정동_명","엑스좌표_값","와이좌표_값","영역_면적"
"11350595","공릉1동","206405","458293","1263261"
"11350600","공릉2동","208325","459117","6983449"
"11350611","하계1동","206626","459880","1527061"
"11350612","하계2동","205734","459495","500023"
"11350619","중계본동","207591","461004","2183234"
"11350621","중계1동","206504","461171","623451"
"11350624","중계4동","207281","462195","1519449"
"11350665","상계3?4동","207430","464017","5211708"
"11350670","상계5동","206176","462932","906891"
"11350695","상계6?7동","205304","461006","1450295"
"11350700","상계8동","204721","462988","666348"
"11350710","상계9동","205486","463108","719445"
"11350720","상계10동","205152","462233","809214"
"11380510","녹번동","194223","456194","1794215"
"11380520","불광1동","194584","457477","3124927"
"11380530","불광2동","193706","458300","1396089"
"11380551","갈현1동","192473","458403","961071"
"11380552","갈현2동","192271","457602","985165"
"11380560","구산동","191816","456835","1389775"
"11380570","대조동","193215","456966","851692"
"11380580","응암1동","193559","455422","1109863"
"11380590","응암2동","193190","454728","755247"
"11380600","응암3동","192718","454377","752773"
"11380625","역촌동","192461","456114","1157542"
"11380631","신사1동","191920","455511","808314"
"11380632","신사2동","191716","454814","1046222"
"11380640","증산동","191692","453846","807409"
"11380650","수색동","190685","454009","1290258"
"11380690","진관동","194512","460009","11565110"
"11410520","천연동","196171","452421","982817"
"11410555","북아현동","196026","451086","458945"
"11410565","충현동","196317","451602","1116001"
"11410585","신촌동","194838","451617","2720364"
"11410615","연희동","194063","452523","2929172"
"11410620","홍제1동","195082","453762","1235632"
"11410640","홍제3동","195737","454760","1192508"
"11410655","홍제2동","195806","453871","699978"
"11410660","홍은1동","195310","455665","1615140"
"11410685","홍은2동","194006","454181","2075085"
"11410690","남가좌1동","192604","452478","475536"
"11410700","남가좌2동","193052","453156","783775"
"11410710","북가좌1동","191882","452878","577979"
"11410720","북가좌2동","192345","453517","824866"
"11440555","아현동","195823","450258","744328"
"11440565","공덕동","196284","449979","1019197"
"11440585","도화동","195502","448794","625018"
"11350625","중계2?3동","205816","460426","919083"
"11350630","상계1동","205744","464860","5402614"
"11350640","상계2동","205921","461893","623125"
"11440700","망원2동","191180","451056","676411"
"11440710","연남동","193068","451501","647438"
"11440720","성산1동","192211","451389","859254"
"11440730","성산2동","191339","452092","1978724"
"11440740","상암동","189390","452361","8402415"
"11470510","목1동","188901","447566","1433111"
"11470520","목2동","188890","449354","1021355"
"11470530","목3동","188118","449526","531850"
"11320512","창2동","203245","460322","654442"
"11320513","창3동","203683","459743","655485"
"11320514","창4동","204493","461455","1140172"
"11320515","창5동","203776","461749","701480"
"11320521","도봉1동","202364","465073","8451468"
"11320522","도봉2동","204208","464622","1119031"
"11320660","쌍문1동","201722","461493","1175774"
"11320670","쌍문2동","203258","461942","541193"
"11320680","쌍문3동","202699","460893","504805"
"11500550","화곡2동","187129","448095","454621"
"11500604","가양2동","187133","451925","823874"
"11470540","목4동","188241","448436","577493"
"11470550","목5동","189384","448512","1766361"
"11470560","신월1동","185371","447987","622400"
"11470570","신월2동","186416","447115","606811"
"11470580","신월3동","184750","448119","918039"
"11470590","신월4동","185843","446975","469873"
"11470600","신월5동","184926","449057","638302"
"11470610","신월6동","186046","446290","444286"
"11470611","신월7동","185025","446632","1230628"
"11470620","신정1동","187594","446612","747568"
"11470630","신정2동","188931","446665","525899"
"11470640","신정3동","185951","445826","2756536"
"11500560","화곡3동","185357","449400","521858"
"11500570","화곡4동","187502","448518","852049"
"11500590","화곡본동","186577","449247","972735"
"11500591","화곡6동","186854","450255","1037911"
"11500593","화곡8동","186634","448318","593322"
"11500603","가양1동","185397","452470","4970691"
"11440590","용강동","194893","449115","790602"
"11440600","대흥동","194833","450283","858570"
"11440610","염리동","195368","450041","491468"
"11440630","신수동","194238","449573","797879"
"11440655","서강동","193463","449693","1478577"
"11440660","서교동","193014","450583","1678981"
"11440680","합정동","191955","449720","1712389"
"11440690","망원1동","191142","450460","1101005"
"11470650","신정4동","187414","447334","997144"
"11470670","신정6동","188487","446275","940885"
"11470680","신정7동","188100","445609","1234130"
"11500510","염창동","188673","450565","1732856"
"11500520","등촌1동","187595","450713","650741"
"11650600","방배1동","199669","442826","689244"
"11650610","방배2동","199420","440664","1904030"
"11650620","방배3동","199816","441660","2375134"
"11650621","방배4동","199202","443376","949527"
"11650651","양재1동","201990","441119","5765358"
"11650652","양재2동","204048","439083","7562268"
"11650660","내곡동","206249","439607","12708880"
"11680510","신사동","201784","447399","2059234"
"11530770","오류1동","185997","444168","727414"
"11530780","오류2동","185712","442885","3061018"
"11530790","수궁동","184615","444345","2661352"
"11530800","항동","184486","442414","1446941"
"11545510","가산동","189721","441920","2512852"
"11545610","독산1동","190489","440548","2061921"
"11545620","독산2동","191395","440507","617174"
"11545630","독산3동","191562","441821","934985"
"11545640","독산4동","191516","441087","591045"
"11545670","시흥1동","191165","439227","1524148"
"11545680","시흥2동","192906","439058","1308882"
"11545690","시흥3동","191681","437858","1261391"
"11545700","시흥4동","191976","440076","821709"
"11545710","시흥5동","192245","438677","1386972"
"11560515","영등포본동","192002","446026","846370"
"11560535","영등포동","191832","446905","1372094"
"11560540","여의동","193677","447670","8437543"
"11560550","당산1동","190876","447162","745305"
"11560560","당산2동","191371","448294","1581310"
"11560585","도림동","191208","445520","585885"
"11560605","문래동","190369","446344","1786708"
"11560610","양평1동","189986","447336","974912"
"11560620","양평2동","190331","449338","2874596"
"11560630","신길1동","192881","445887","722925"
"11560650","신길3동","191669","445201","520083"
"11560660","신길4동","192302","445311","292127"
"11560670","신길5동","191645","444615","494653"
"11560680","신길6동","192350","444399","653511"
"11560690","신길7동","192893","445171","642487"
"11560700","대림1동","191618","443807","498978"
"11560710","대림2동","191201","443357","572540"
"11560720","대림3동","190905","444509","921696"
"11590510","노량진1동","195487","445863","1613446"
"11590520","노량진2동","194502","445722","600568"
"11590530","상도1동","195873","444326","1488648"
"11590540","상도2동","194856","444917","772865"
"11590550","상도3동","194069","444236","637199"
"11590560","상도4동","194754","444220","939562"
"11590605","흑석동","196661","445107","1708306"
"11590620","사당1동","198011","442261","635172"
"11590630","사당2동","197774","444193","2763201"
"11590640","사당3동","197433","443256","907684"
"11590650","사당4동","197414","442345","436148"
"11590651","사당5동","196901","442929","682199"
"11590660","대방동","193638","445273","1544903"
"11590670","신대방1동","192100","443396","675281"
"11590680","신대방2동","193075","443903","977033"
"11620525","보라매동","194043","443440","750225"
"11620545","청림동","196417","443346","297155"
"11620565","성현동","195671","443345","678223"
"11620575","행운동","196511","442393","718235"
"11620585","낙성대동","196448","440919","2262818"
"11620595","청룡동","195207","442070","1195604"
"11620605","은천동","194879","443063","776212"
"11620615","중앙동","195636","442746","384728"
"11620625","인헌동","197130","441142","1089078"
"11620630","남현동","198033","440521","3281024"
"11620645","서원동","194103","442353","647532"
"11620655","신원동","193509","442220","544977"
"11620665","서림동","194825","441494","941252"
"11620685","신사동","192803","442934","641031"
"11620695","신림동","193559","443079","541240"
"11620715","난향동","192792","440235","821397"
"11620725","조원동","191805","442602","666607"
"11620735","대학동","195445","439279","8405183"
"11620745","삼성동","193815","440161","2604386"
"11620765","미성동","192523","441836","1359429"
"11620775","난곡동","193024","441248","972373"
"11650510","서초1동","201778","443054","1382685"
"11500605","가양3동","187729","451261","474228"
"11500611","발산1동","184559","450124","2887669"
"11500615","우장산동","185961","450133","1261588"
"11500620","공항동","181853","450719","10861768"
"11500630","방화1동","183884","452134","1475606"
"11500640","방화2동","182690","453702","6157541"
"11500641","방화3동","183888","453634","2558908"
"11530510","신도림동","189583","445624","1392788"
"11530520","구로1동","188981","443750","1008892"
"11530530","구로2동","189381","444164","1703350"
"11530540","구로3동","190706","442830","1040120"
"11530550","구로4동","190299","443578","524507"
"11530560","구로5동","190145","444731","1012473"
"11530595","가리봉동","190099","442589","410996"
"11530720","고척1동","187948","444591","1151238"
"11530730","고척2동","187044","445168","1025572"
"11530740","개봉1동","186659","444515","1320319"
"11530750","개봉2동","187308","443689","782524"
"11530760","개봉3동","186930","443020","828418"
"11500530","등촌2동","187630","449601","910666"
"11500535","등촌3동","186411","451308","1060362"
"11500540","화곡1동","185940","448265","1197746"
"11650540","잠원동","201126","446400","1756867"
"11650550","반포본동","198900","444972","972536"
"11650560","반포1동","201482","445118","992368"
"11650570","반포2동","199643","445306","1396031"
"11650580","반포3동","200352","445872","1251708"
"11650581","반포4동","200297","444454","1427141"
"11650590","방배본동","198915","443955","677510"
"11710562","방이2동","210069","445980","769841"
"11710566","오륜동","211390","446446","3085088"
"11710570","오금동","211850","444957","1648868"
"11710580","송파1동","209758","445307","686925"
"11680521","논현1동","202343","445822","1258744"
"11680531","논현2동","203201","446196","1458524"
"11680545","압구정동","203033","447807","2345057"
"11680565","청담동","204461","447213","2329217"
"11680580","삼성1동","205375","446204","1944629"
"11680590","삼성2동","204312","445821","1242271"
"11680600","대치1동","205226","443769","809823"
"11680610","대치2동","205806","444616","1837367"
"11710520","풍납2동","209561","447858","2564554"
"11710531","거여1동","212545","443931","522308"
"11710532","거여2동","213115","443640","612901"
"11710540","마천1동","213796","443996","575258"
"11710550","마천2동","213321","444574","890688"
"11710561","방이1동","210827","445605","609259"
"11650520","서초2동","202468","443265","1230924"
"11650530","서초3동","200836","442897","2998572"
"11650531","서초4동","201752","444387","879773"
"11680630","대치4동","204842","444679","701081"
"11680640","역삼1동","203139","444598","2362133"
"11680650","역삼2동","203970","444337","1135029"
"11680655","도곡1동","203627","443272","1050609"
"11680656","도곡2동","204335","442895","990763"
"11680660","개포1동","205513","442040","1449952"
"11680670","개포2동","206104","442805","2243338"
"11680690","개포4동","204724","441768","1665461"
"11680700","세곡동","209227","441253","6367772"
"11710590","송파2동","210346","444827","631023"
"11710600","석촌동","209064","444812","946914"
"11710632","가락2동","211564","444052","932311"
"11710641","문정1동","211223","443229","612546"
"11710642","문정2동","210538","442424","2242033"
"11710646","장지동","211631","442623","1278355"
"11710647","위례동","212445","442428","2537372"
"11710650","잠실본동","207305","445172","1028997"
"11710670","잠실2동","207014","446441","2686850"
"11710680","잠실3동","208332","446051","1542643"
"11710690","잠실4동","209650","446807","780204"
"11710710","잠실6동","208793","446703","1508001"
"11710720","잠실7동","206533","445319","723486"
"11740515","강일동","215398","451571","3647520"
"11740520","상일동","214565","450139","1813623"
"11740530","명일1동","212897","450102","634942"
"11740540","명일2동","213634","449869","914329"
"11740550","고덕1동","213336","451364","1518495"
"11740560","고덕2동","214314","451728","2206786"
"11740570","암사1동","211893","450267","735480"
"11740580","암사2동","210929","450841","2174329"
"11740590","암사3동","212249","451304","1799368"
"11740600","천호1동","212244","449655","668998"
"11740610","천호2동","210782","449505","1850853"
"11740620","천호3동","211781","448918","561872"
"11710610","삼전동","208125","444719","953338"
"11710620","가락본동","210758","444180","1014738"
"11710631","가락1동","209575","443976","1393228"
"11680720","일원본동","207478","442544","2354625"
"11680730","일원1동","207892","443783","953471"
"11680740","일원2동","206971","444095","1300290"
"11680750","수서동","208857","443057","1629403"
"11710510","풍납1동","210134","448776","1075294"
"11740690","둔촌1동","212413","447073","912178"
"11740700","둔촌2동","213015","447989","1550455"
"11740640","성내1동","211097","447696","663675"
"11740650","성내2동","211287","448330","625147"
"11740660","성내3동","211824","447659","647356"
"11740685","길동","212900","448920","1631616"
